Comparison,diff,lwr,upr,p.adj
Two-One,0.39019189765456375,-0.3557783838775489,1.1361621791866763,0.43700614515848346
Three-One,0.8253303415606918,0.10663539115198661,1.544025291969397,0.01955284622785647
Three-Two,0.4351384439061281,0.04473948775716163,0.8255374000550946,0.02447379330830446
