algo,cv_rqs_reduced,ho_rqs_reduced,cv_rqs_full,ho_rqs_full
elastic net,0.018341716085762613,0.021439788656901496,0.6636780137005882,0.18001598005390382
random forests,0.3853315127918255,0.014118392562341753,0.9850048483495053,0.9472137085958466
xgboost,0.4861756529987299,0.006554922859477289,0.999782911095624,0.9433924648309169
