Variable,Mode,Mean,SD
INCOME,12,10.949571356530509,2.384883136761762
AGE,34,48.609201213346815,18.061869063883968
NUMPETS,0,1.716804979253112,3.0359028108252812
PARSOL,1,2.3421052631578947,1.1671960461443238
